id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
250016833,Harry Kane,England,Forward,STRIKER,65.0,188.0,31,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250016833.jpg
250105927,Viktor Gyökeres,Sweden,Forward,,,,26,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250105927.jpg
250121533,Vinícius Júnior,Brazil,Forward,UNKNOWN,,,24,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121533.jpg
250121294,Tijjani Reijnders,Netherlands,Midfielder,CENTRAL_MIDFIELDER,,,26,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121294.jpg
250160436,Maghnes Akliouche,France,Midfielder,UNKNOWN,,,22,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250160436.jpg
250028211,Antonio Rüdiger,Germany,Defender,CENTRE_BACK,85.0,190.0,31,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250028211.jpg
250123677,Malik Tillman,USA,Midfielder,UNKNOWN,,,22,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250123677.jpg
250055663,Thilo Kehrer,Germany,Defender,CENTRAL_MIDFIELDER,72.0,186.0,28,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250055663.jpg
250064188,Hans Vanaken,Belgium,Midfielder,ATTACKING_MIDFIELDER,77.0,194.0,32,50043,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250064188.jpg
250088061,Achraf Hakimi,Morocco,Defender,WINGER,68.0,179.0,26,52747,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250088061.jpg
250189506,Ryan Flamingo,Netherlands,Defender,,,,21,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250189506.jpg
250106969,Miguel Gutiérrez,Spain,Defender,UNKNOWN,,,23,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250106969.jpg
50327420,Virgil van Dijk,Netherlands,Defender,CENTRE_BACK,92.0,193.0,33,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/50327420.jpg
250070417,Joshua Kimmich,Germany,Midfielder,CENTRE_BACK,70.0,176.0,29,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250070417.jpg
250096309,Jules Koundé,France,Defender,CENTRE_BACK,,,25,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250096309.jpg
250129965,Marc Casado,Spain,Midfielder,UNKNOWN,,,21,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250129965.jpg
250004363,Stefan Ristovski,North Macedonia,Defender,FULL_BACK,72.0,180.0,32,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250004363.jpg
